media,judul,waktu,link
Beritabuana.co,"Nasib 4 Pulau Selesai, Kemendagri Harus Gercep Data Pulau Berpotensi Sengketa",19/06/2025,https://beritabuana.co/2025/06/20/nasib-4-pulau-selesai-kemendagri-harus-gercep-data-pulau-berpotensi-sengketa/
Kompas.tv,"4 Pulau di Aceh Masuk Sumut, Mendagri: Sudah Difasilitasi Berkali-Kali, Libatkan Banyak Pihak",12/06/2025,https://www.kompas.tv/nasional/598728/4-pulau-di-aceh-masuk-sumut-mendagri-sudah-difasilitasi-berkali-kali-libatkan-banyak-pihak
MODUS ACEH,"Pertarungan Sejarah, Politik & Logika Administrasi Negara",12/06/2025,https://modusaceh.co/news/pertarungan-sejarah-politik-logika-administrasi-negara/index.html
SINDOnews Nasional,Kemendagri Ungkap Kronologi 4 Pulau Aceh Bisa Masuk Sumut,19/06/2025,https://nasional.sindonews.com/read/1579913/12/kemendagri-ungkap-kronologi-4-pulau-aceh-bisa-masuk-sumut-1749859618/14
VOI.ID,"Pemutakhiran Batas Wilayah Harus Pertimbangkan Aspek Kastografis, Geospasial dan Historis",26/06/2025,https://voi.id/berita/490085/pemutakhiran-batas-wilayah-harus-pertimbangkan-aspek-kastografis-geospasial-dan-historis
BeritaSatu.com,Kenapa 4 Pulau Milik Aceh Bisa Masuk Sumut? Ini Duduk Perkaranya,12/06/2025,https://www.beritasatu.com/sumut/2895206/kenapa-4-pulau-milik-aceh-bisa-masuk-sumut-ini-duduk-perkaranya
Delta Kepri,Bintan Menuju Tata Kelola Wilayah Modern Lewat Digitalisasi Batas,01/07/2025,https://deltakepri.co.id/bintan-menuju-tata-kelola-wilayah-modern-lewat-digitalisasi-batas/
Jakartanews.id,Komisi II DPR Minta Kemendagri Data dan Selesaikan Seluruh Sengketa Pulau,26/06/2025,https://jakartanews.id/2025/06/21/komisi-ii-dpr-minta-kemendagri-data-dan-selesaikan-seluruh-sengketa-pulau/
PotretNews.com,Anggota Komisi II Minta Kemendagri Data Pulau Bersengketa Kemendagri diharapkan dapat menyelesaikan pulau bersengketa,19/06/2025,https://www.potretnews.com/berita/baca/2025/06/20/banggota-komisi-ii-minta-kemendagri-data-pulau-bersengketa-kemendagri-diharapkan-dapat
Merdeka.com,TNI AD Sebut Perlu Pertemuan Teknis dengan Kemendagri Bahas Sengketa 4 Pulau Aceh dengan Sumut,12/06/2025,https://www.merdeka.com/peristiwa/tni-ad-sebut-perlu-pertemuan-teknis-dengan-kemendagri-bahas-sengketa-4-pulau-aceh-dengan-sumut-425350-mvk.html
IDN Times,Ini Penjelasan BIG soal 4 Pulau yang Dikembalikan Presiden ke Aceh,26/06/2025,https://www.idntimes.com/news/indonesia/ini-penjelasan-big-soal-4-pulau-yang-dikembalikan-presiden-ke-aceh-00-sk545-y43xqs
TvOneNews,Komisi II DPR Minta Kemendagri Data dan Selesaikan Seluruh Sengketa Pulau,19/06/2025,https://www.tvonenews.com/berita/nasional/345130-komisi-ii-dpr-minta-kemendagri-data-dan-selesaikan-seluruh-sengketa-pulau?page=2
Beritaja.com,Anggota Komisi Ii Minta Kemendagri Data Pulau Bersengketa,19/06/2025,https://www.beritaja.com/anggota-komisi-ii-minta-kemendagri-data-pulau-bersengketa-beritaja-348381.html
